"","school_ID","stud_ID","grade","gender","immig","video_games","internet_quality","internet_availability","SCHRISK","BULLIED","BELONG","COOPAGR","TEACHSUP","FAMSUP","PERSEVAGR","ASSERAGR","EMPATAGR","EMOCOAGR","STRESAGR","CURIOAGR","math_time","study_time","MISCED","FISCED","HISCED","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","mate","mate9","mate3"
"1","38000165","38000001",10,1,0,3,-0.3465,6,-0.4624,1.0616,-0.8618,0.3456,-1.3627,-0.8663,0.2139,0.4343,-0.6518,-0.0479,-0.9691,-0.998,1,2,3,3,3,-1.5912,405.606,381.92,395.179,355.071,390.181,398.718,362.505,407.055,365.277,401.439,386.2951,"1a","low"
"2","38000035","38000003",10,0,0,2,0.4574,6,-0.4624,-1.228,0.7289,0.3808,-0.1002,0.5875,0.5411,-0.0917,0.895,-1.93,-1.4313,-0.4456,1,3,10,10,10,1.167,568.857,512.462,542.377,553.168,535.827,490.731,535.698,512.417,500.811,487.353,523.9701,"3","medium"
"3","38000064","38000004",10,0,0,5,-0.1651,5,-0.4624,-0.1325,-1.3342,0.7741,0.1475,NA,0.2285,-1.2684,-0.1158,1.4033,-0.5736,0.4871,2,4,5,5,5,-0.7283,515.899,547.577,569.418,519.695,528.801,530.771,558.91,506.659,545.212,536.094,535.9036,"3","medium"
"4","38000225","38000007",10,0,0,3,-0.5827,5,0.4017,-1.228,0.5296,-0.0554,NA,-0.9921,3.073,0.0485,-1.0434,0.033,0.4171,2.5303,3,3,10,3,10,0.0594,380.181,327.608,373.628,314.547,399.58,400.687,390.479,411.091,372.242,409.098,377.9141,"1a","low"
"5","38000068","38000008",10,1,0,3,0.1753,6,-0.4624,-1.228,-0.7532,1.5499,-0.5635,-0.1021,-0.6806,-0.4619,1.7253,1.0143,-0.0022,0.5405,2,4,9,9,9,1.5253,540.971,593.399,577.746,589.681,567.313,521.656,521.338,531.363,570.673,554.633,556.8773,"4","medium"
"6","38000309","38000011",10,1,0,1,-0.2087,6,-0.4624,-1.228,0.713,0.9153,1.5558,0.3925,0.7316,1.4006,1.2026,0.4062,0.31,1.0575,1,6,3,9,9,-0.7469,366.511,376.892,380.173,360.298,336.796,364.793,382.943,382.692,365.173,413.216,372.9487,"1a","low"
"7","38000037","38000012",10,1,0,NA,NA,NA,-0.4624,1.4066,-0.608,-0.5858,-0.3322,-0.095,-0.7996,-0.2035,-0.4483,-0.5705,-0.1319,-0.1287,3,5,7,7,7,-0.9514,315.619,347.761,257.17,320.587,343.121,375.551,285.35,405.964,385.135,367.779,340.4037,"1b","low"
"8","38000308","38000014",10,0,0,5,-0.1076,6,-0.4624,-1.228,0.1436,0.123,0.4357,1.0086,-0.9018,-1.6981,-0.4297,0.5671,3.2847,-0.4862,1,2,9,9,9,1.2647,642.214,620.773,700.002,644.884,671.33,695.776,675.578,666.496,711.564,644.396,667.3013,"5","high"
"9","38000075","38000016",9,0,0,4,-0.8437,6,-0.4624,-1.228,-0.3397,-0.9353,-0.1002,-0.0601,-0.4339,-0.815,-1.3278,0.4994,0.4917,-0.0176,2,3,8,8,8,-0.0575,420.166,425.999,478.729,465.69,440.067,477.263,396.76,410.958,402.991,435.084,435.3707,"2","low"
"10","38000091","38000019",9,1,0,4,-0.1344,6,0.8125,1.6098,-0.7225,-0.6335,0.4357,-0.4896,-1.1007,0.4743,-0.9888,-2.7993,-0.3685,3.3057,1,2,3,10,10,0.1003,426.91,378.438,383.52,329.923,420.382,364.527,337.574,398.926,334.956,364.485,373.9641,"1a","low"
