"Oid";"ClasseOid";"DataNascita";"Sesso";"Cittadinanza";"PEI";"PDB";"Anno";"Sezione";"Classe";"Settore";"Area";"StatusFinale";"MedieCSC";"ScuolaMediaProvenienza";"ConsiglioOrientativo";"BocciatoMedie";"ValutazioneEsameMedie";"ValutazioneEsameMaturita"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"5d980c72-ede9-4a23-bf67-a71fec550053";"2003-12-02";"1";"ITALIA";"0";"0";"1";"A";"1 A";"Liceo Scientifico Paritario";"2017-2018";"P1";"0";"";"";"0";"0";"0"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"2003-12-02";"1";"ITALIA";"0";"0";"2";"A";"2 A";"Liceo Scientifico Paritario";"2018-2019";"P1";"0";"";"";"0";"0";"0"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1999-07-15";"1";"ITALIA";"0";"0";"5";"B";"5 B";"Liceo Scientifico Paritario";"2017-2018";"P1";"0";"";"";"0";"0";"0"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"2001-09-09";"0";"ITALIA";"0";"0";"3";"A";"3 A";"Liceo Internazionale per l'Intercultura";"2017-2018";"P1";"0";"";"";"0";"0";"0"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2001-09-09";"0";"ITALIA";"0";"0";"4";"A";"4 A";"Liceo Internazionale per l'Intercultura";"2018-2019";"P1";"0";"";"";"0";"0";"0"
"0157c571-4a7b-44ed-bb9d-27da7a4ee0be";"f8cdc0dc-2f93-4dfc-85b8-87f5fcd27480";"2001-05-07";"0";"ITALIA";"0";"0";"4";"A";"4 A";"Liceo Scienze Umane Paritario";"2017-2018";"B2";"0";"";"";"0";"0";"0"
"0157c571-4a7b-44ed-bb9d-27da7a4ee0be";"b0c2c6be-fa9f-4326-9774-98779897336e";"2001-05-07";"0";"ITALIA";"0";"0";"4";"A";"4 A";"Liceo Scienze Umane Paritario";"2018-2019";"T";"0";"";"";"0";"0";"0"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"2003-10-16";"0";"ITALIA";"0";"0";"1";"A";"1 A";"Liceo Internazionale per l'Intercultura";"2017-2018";"P1";"0";"";"";"0";"0";"0"
"01608e62-a9a7-4216-bfa9-973a1054464b";"12e8710f-de11-4655-afcd-f790d5a28145";"2003-10-16";"0";"ITALIA";"0";"0";"2";"A";"2 A";"Liceo Internazionale per l'Intercultura";"2018-2019";"P1";"0";"";"";"0";"0";"0"
"0165e68e-40b2-44cc-9c5c-104058e6b230";"147b362f-a7d1-4ec4-90c7-8065b5d3cd1d";"2002-03-29";"1";"ITALIA";"0";"0";"2";"A";"2 A";"Liceo Internazionale per l'Intercultura";"2017-2018";"P1";"0";"";"";"0";"0";"0"
