ClasseOid;Anno;Sezione;Nome;Settore;Quadriennale;Area;Docenti;DocentiRuolo
09fe229d-e841-4145-81bf-a487fca98d44;2;B;2 B;Liceo Scienze Umane Paritario;0;2018-2019;0;0
106a499f-8781-468b-a8a0-5ed9c42112b9;3;D;3 D;Liceo Scientifico Paritario;0;2018-2019;0;0
10fcf9a1-1559-41b6-a7e0-ebd98b3626d0;2;B;2 B;Liceo Classico Paritario;0;2018-2019;0;0
128cd416-7985-48d5-a552-928424b87bbf;4;C;4 C;Liceo Classico Paritario;0;2018-2019;0;0
5d980c72-ede9-4a23-bf67-a71fec550053;1;A;1:00 AM;Liceo Scientifico Paritario;0;2017-2018;17;17
12e77aaa-ed9f-438c-8d02-7613881f41f0;2;E;2 E;Liceo Scientifico Paritario;0;2018-2019;0;0
12e8710f-de11-4655-afcd-f790d5a28145;2;A;2:00 AM;Liceo Internazionale per l'Intercultura;1;2018-2019;19;17
de961173-ef46-4715-9540-624cf94f0cf4;1;A;1:00 AM;International Baccalaureate Diploma;0;2017-2018;0;0
d62cf8b3-3a27-4025-9c38-8fdd1f1927e7;1;A;1:00 AM;Liceo Scienze Umane Paritario;0;2017-2018;21;21
0cf8ebdd-4a64-467f-a80e-6f5594b90988;1;A;1:00 AM;Liceo Internazionale per l'Intercultura;1;2017-2018;17;17
4a218ad9-9d33-4dc3-8d78-05d167981285;1;A;1:00 AM;Liceo Classico Paritario;0;2017-2018;13;13
14bc7795-3db8-448f-8801-f0230330e609;3;C;3 C;Liceo Classico Paritario;0;2018-2019;0;0
cec4e795-efb2-4b5b-8ac5-73259f386580;1;B;1 B;Liceo Scientifico Paritario;0;2017-2018;17;17
ee241399-9d2e-4b5e-ae0c-60cbb2b51230;1;B;1 B;Liceo Classico Paritario;0;2017-2018;0;0
16a635be-d253-4820-83a6-8f02fd7ab544;5;Z;5 Z;Liceo Scientifico Paritario;0;2018-2019;0;0
19c583c5-b5fc-435f-bcca-7f9b1da446d7;4;D;4 D;Liceo Internazionale per l'Intercultura;1;2018-2019;0;0
20ac3d06-ec49-491e-95b0-a592075a1b6c;4;A;4:00 AM;Liceo Internazionale per l'Intercultura;1;2018-2019;22;18
eddb3c45-5d50-448b-8747-c7ac73e96b2a;1;B;1 B;Liceo Internazionale per l'Intercultura;1;2017-2018;18;17
72473b4d-e167-4a66-b78e-d32e5d139337;1;B;1 B;Liceo Scienze Umane Paritario;0;2017-2018;0;0
21576f87-af5c-44f4-b86f-560733e44a52;3;A;3:00 AM;Liceo Classico Paritario;0;2018-2019;15;12
a5872b2a-de6d-465b-9ce3-89769cf40e92;1;C;1 C;Liceo Scientifico Paritario;0;2017-2018;0;0
22fc17c0-015d-4da6-9b03-c101aa510287;3;A;3:00 AM;Liceo Internazionale per l'Intercultura;1;2018-2019;22;17
278af4eb-65a2-41f6-b15a-42291d9da540;5;B;5 B;Liceo Scienze Umane Paritario;0;2018-2019;19;15
9ebbf0db-bd37-4895-8d92-935ea0b68f6a;1;C;1 C;Liceo Classico Paritario;0;2017-2018;0;0
a2e1e80e-e71b-4c18-8393-52026239286d;1;C;1 C;Liceo Internazionale per l'Intercultura;1;2017-2018;18;17
186445db-be2e-4ed4-aab8-ac3bae635847;1;D;1 D;Liceo Scientifico Paritario;0;2017-2018;0;0
c140be98-25df-4956-ade6-4dbe6f056ae4;1;D;1 D;Liceo Internazionale per l'Intercultura;1;2017-2018;0;0
293e84dc-0121-4543-a327-e81524e03785;1;B;1 B;Liceo Scientifico Paritario;0;2018-2019;15;12
2e2f3f80-7cc3-4e22-8406-cbf7ebd14b31;2;A;2:00 AM;Liceo Classico Paritario;0;2018-2019;14;11
f5de6650-9808-4170-9601-bc1c31cfae6f;1;E;1 E;Liceo Scientifico Paritario;0;2017-2018;0;0
2eebf665-6d63-4c74-925b-68389a7dcf6d;5;A;5:00 AM;Liceo Scientifico Paritario;0;2018-2019;12;12
dd2f0e00-d414-4061-b2e3-2b4ef55f0994;2;A;2:00 AM;Liceo Scientifico Paritario;0;2017-2018;16;16
3699dcce-7494-4c7f-8e7b-f50c05231cea;4;C;4 C;Liceo Internazionale per l'Intercultura;1;2018-2019;0;0
27138907-7e51-4aa4-9dd5-5e7a5077c7a7;2;A;2:00 AM;Liceo Classico Paritario;0;2017-2018;12;12
37a391f1-4ad3-4367-9c6b-e8ea7ef1319f;3;C;3 C;Liceo Internazionale per l'Intercultura;1;2018-2019;21;18
147b362f-a7d1-4ec4-90c7-8065b5d3cd1d;2;A;2:00 AM;Liceo Internazionale per l'Intercultura;1;2017-2018;16;15
39fe2e70-8a2a-4fcf-88b4-0705f6aac0de;5;Z;5 Z;Liceo Classico Paritario;0;2018-2019;0;0
3bf3b42c-a5c8-43bc-8656-4837e2a22c62;3;B;3 B;Liceo Internazionale per l'Intercultura;1;2018-2019;25;19
3f9e081d-7efe-40dc-b14b-b928e485e234;1;A;1:00 AM;Liceo Scientifico Paritario;0;2018-2019;16;13
02777bf5-ca0e-4369-8aaf-13984cb4e4af;2;A;2:00 AM;Liceo Scienze Umane Paritario;0;2017-2018;18;18
0ac5c7ca-9c4e-41e5-8a14-817927534172;2;B;2 B;Liceo Scienze Umane Paritario;0;2017-2018;0;0
c49aaa23-5c0e-4890-959b-bcbd88a17a93;2;B;2 B;Liceo Classico Paritario;0;2017-2018;0;0
6831041f-6fbe-4098-a48c-8df76e166f3c;2;B;2 B;Liceo Scientifico Paritario;0;2017-2018;15;15
