"StudenteOid";"ClasseOid";"NumeroGiorniAssenza";"Anno";"Settimana"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"2";"2018";"38"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2018";"50"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"4";"2019";"2"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"17"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"20"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"5d980c72-ede9-4a23-bf67-a71fec550053";"1";"2018";"13"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"5d980c72-ede9-4a23-bf67-a71fec550053";"2";"2018";"16"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2017";"44"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2017";"45"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2017";"49"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2017";"50"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"3"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"2";"2018";"4"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"2";"2018";"9"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"19"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"20"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"22"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"36"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"39"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"45"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"47"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"2"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2019";"5"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"7"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"8"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"11"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"14"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"20"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2019";"21"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"37"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"51"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"1"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"5"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"7"
