"StudenteOid";"ClasseOid";"NumeroNote";"Anno";"Settimana";"TipoNota"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"13";"Impegno"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"19";"Impegno"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"21";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2018";"40";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"46";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"48";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"48";"Merito"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2019";"3";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"13";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"14";"Disciplinare"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"20";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"22";"Disciplinare"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"43";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"51";"Impegno"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"16";"Impegno"
"0157c571-4a7b-44ed-bb9d-27da7a4ee0be";"f8cdc0dc-2f93-4dfc-85b8-87f5fcd27480";"1";"2018";"18";"Disciplinare"
"0157c571-4a7b-44ed-bb9d-27da7a4ee0be";"f8cdc0dc-2f93-4dfc-85b8-87f5fcd27480";"1";"2018";"22";"Disciplinare"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"1";"2017";"47";"Disciplinare"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"1";"2017";"49";"Impegno"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"2";"2018";"2";"Impegno"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"1";"2018";"3";"Impegno"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"1";"2018";"7";"Impegno"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"1";"2018";"9";"Impegno"
"01608e62-a9a7-4216-bfa9-973a1054464b";"0cf8ebdd-4a64-467f-a80e-6f5594b90988";"1";"2018";"12";"Disciplinare"
