"StudenteOid";"ClasseOid";"NumeroRitardi";"Anno";"Settimana"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2018";"42"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"5"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"2";"2019";"7"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";"1";"2019";"8"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"7"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"12"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"15"
"010fb54a-0eb3-4956-9cff-df7bd5192833";"e9800bfa-8ca3-4d56-98c5-a9963f9e6277";"1";"2018";"20"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"37"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2018";"39"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2018";"42"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2018";"44"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"46"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"47"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2018";"49"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2018";"50"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"1"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"2"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"5"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"8"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"10"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"1";"2019";"18"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";"2";"2019";"19"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"41"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"2";"2017";"42"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"43"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"2";"2017";"46"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"47"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"48"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"49"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2017";"50"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"1"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"2"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"3"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"4"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"5"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"2";"2018";"8"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"10"
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"82851afe-669b-4a7f-81d9-243185960f3f";"1";"2018";"11"
