"Oid";"ClasseOid";"DataNascita";"Sesso";"Cittadinanza";"PEI";"PDB";"Anno";"Classe";"Settore";"StatusFinale.x";"StatusFinale_prec";"Docenti";"DocentiRuolo";"Matematica_finale";"Italiano_finale";"Inglese_finale";"MediaFinale";"MediaFinaleClass";"MediaFinale_prec";"MediaFinaleClass_prec";"assenze21";"assenze41";"note_merito21";"note_merito41";"note_impegno21";"note_impegno41";"note_disciplinari21";"note_disciplinari41";"ritardi21";"ritardi41";"mate_media1";"mate_media2";"mate_media3";"mate_media4";"mate_media5";"mate_media6";"mate_media7";"mate_media8";"mate_media9";"mate_media10";"mate_media11";"mate_media12";"mate_media13";"mate_media14";"mate_media15";"mate_media16";"mate_media17";"mate_media18";"mate_media19";"mate_media20";"mate_media21";"mate_media22";"mate_media23";"mate_media24";"mate_media25";"mate_media26";"mate_media27";"mate_media28";"mate_media29";"mate_media30";"mate_media31";"mate_media32";"mate_media33";"mate_media34";"mate_media35";"mate_media36";"mate_media37";"mate_media38";"mate_media39";"mate_media40";"mate_media41";"Matematica_finale_prec";"Italiano_finale_prec";"Inglese_finale_prec";"no_mate_1";"no_mate_2";"no_mate_3";"no_mate_4";"no_mate_5";"no_mate_6";"no_mate_7";"no_mate_8";"no_mate_9";"no_mate_10";"no_mate_11";"no_mate_12";"no_mate_13";"no_mate_14";"no_mate_15";"no_mate_16";"no_mate_17";"no_mate_18";"no_mate_19";"no_mate_20";"no_mate_21";"no_mate_22";"no_mate_23";"no_mate_24";"no_mate_25";"no_mate_26";"no_mate_27";"no_mate_28";"no_mate_29";"no_mate_30";"no_mate_31";"no_mate_32";"no_mate_33";"no_mate_34";"no_mate_35";"no_mate_36";"no_mate_37";"no_mate_38";"no_mate_39";"no_mate_40";"no_mate_41";"mate_primo_quad";"varianza1718";"varianza41";"varianza21";"perc_doc_ruolo";"Cittadinanza_bin";"StatusFinale_bin_prec";"StatusFinale_bin";"rischio";"assenze_perc21";"assenze_perc41"
"0030505f-afbb-4e01-91d3-2e30b42cf9ff";"49405a36-2cf8-427a-87dc-92f9cf121301";0;1;"ITALIA";0;0;2;"S2 A";"Liceo Scientifico Paritario";"P1";"P1";18;15;6;8;8;7,63636363636364;8;7,41666666666667;7;7;9;0;0;0;3;0;0;1;5;0;0;6,5;6,5;6,25;6,25;6,83333333333333;6,83333333333333;6,83333333333333;6,83333333333333;6,83333333333333;6,83333333333333;6,375;6,375;6,375;6,375;6,375;6,375;6,9;6,9;6,9;6,9;6,9;6,91666666666667;6,91666666666667;6,42857142857143;6,42857142857143;6,4375;6;6;6;6,1;6,1;6,1;6,1;5,95454545454545;5,95454545454545;6,125;6,125;6,125;6,125;7;7;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;4,95604395604396;3,73295454545455;2,55;0,833333333333333;1;1;1;2;0,0666666666666667;0,0439024390243902
"01456b62-3e35-47aa-80ba-6b51ba5768d2";"20ac3d06-ec49-491e-95b0-a592075a1b6c";0;0;"ITALIA";0;0;4;"I4 A";"Liceo Internazionale per l'Intercultura";"P1";"P1";22;18;5;7;8;7,11111111111111;7;7,1875;7;5;14;1;1;6;8;0;2;14;20;0;6,75;6,75;6,75;5,625;5,625;5,08333333333333;5,4375;5,4375;5,4375;5,75;5,75;5,75;5,29166666666667;5,32142857142857;5,32142857142857;5,32142857142857;5,32142857142857;5,32142857142857;5,32142857142857;5,3125;5,3125;4,94444444444444;4,94444444444444;4,94444444444444;4,86363636363636;4,86363636363636;5,04166666666667;5,04166666666667;5,19230769230769;5,10714285714286;5,10714285714286;5,10714285714286;5,10714285714286;5,10714285714286;5,08333333333333;5,08333333333333;4,984375;4,984375;4,984375;4,984375;6;7;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2,49839743589744;2,67890625;2,34821428571429;0,818181818181818;1;1;1;1;0,0476190476190476;0,0682926829268293
"01608e62-a9a7-4216-bfa9-973a1054464b";"12e8710f-de11-4655-afcd-f790d5a28145";0;0;"ITALIA";0;0;2;"I2 A";"Liceo Internazionale per l'Intercultura";"P1";"P1";19;17;7;7;8;7,06666666666667;7;6,30769230769231;6;4;15;2;2;5;10;0;2;1;4;0;7,75;7,375;7,375;6,41666666666667;6,8125;6,45;6,625;6,625;6,625;6,60714285714286;6,53125;6,38888888888889;6,38888888888889;6,38888888888889;6,45;6,45;6,45;6,45;6,45;6,375;6,375;6,375;6,375;6,375;6,5;6,5;6,5;6,5;6,56666666666667;6,53125;6,53125;6,53125;6,53125;6,53125;6,54411764705882;6,51388888888889;6,51388888888889;6,5;6,5;6,5;6;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1,57565789473684;1,46052631578947;1,48333333333333;0,894736842105263;1;1;1;2;0,0380952380952381;0,0731707317073171
"0165e68e-40b2-44cc-9c5c-104058e6b230";"22fc17c0-015d-4da6-9b03-c101aa510287";0;1;"ITALIA";0;0;3;"I3 A";"Liceo Internazionale per l'Intercultura";"P1";"P1";22;17;8;10;9;9,29411764705882;9;8,16666666666667;8;0;1;2;2;1;2;0;0;1;8;0;0;0;0;0;7;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,66666666666667;7,8125;7,65;7,65;7,65;7,65;7,65;7,65;7,875;7,875;7,875;7,875;7,875;7,60714285714286;7,78125;7,78125;7,78125;7,78125;6;10;9;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4,79595588235294;1,09709821428571;0,333333333333333;0,772727272727273;1;1;1;3;0;0,0048780487804878
"01b177b8-12d8-4693-b396-36c296f47115";"fb36b963-2c5b-453a-97fe-cac33b1b59b6";0;0;"ITALIA";0;0;3;"S3 A";"Liceo Scientifico Paritario";"P1";"P1";14;12;10;9;9;9,41666666666667;9;9,27272727272727;9;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,75;9,7;9,7;9,7;9,7;9,7;9,75;9,75;9,75;9,75;9,75;9,78571428571429;9,78571428571429;9,78571428571429;9,78571428571429;9,78571428571429;9,78571428571429;9,8125;9,83333333333333;9,83333333333333;9,83333333333333;9,83333333333333;10;9;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0,329861111111111;0,0625;0,0833333333333333;0,857142857142857;1;1;1;3;0;0
"01db5ad9-826f-4cc3-8e37-9d49148cfcc3";"2e2f3f80-7cc3-4e22-8406-cbf7ebd14b31";0;0;"ITALIA";0;0;2;"C2 A";"Liceo Classico Paritario";"P1";"P2";14;11;6;6;7;6,81818181818182;7;6,54545454545455;7;1;6;0;0;1;1;1;1;1;1;0;0;6,5;6,5;6,5;6,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5;6,66666666666667;6,25;6,25;6,25;6,25;6,25;6,25;6,25;5,7;5,7;5,7;5,7;5,7;5,7;5,41666666666667;5,41666666666667;5,41666666666667;5,41666666666667;5,64285714285714;5,64285714285714;5,64285714285714;5,64285714285714;5,75;5,44444444444444;5,35;5,75;5,75;5,75;6;6;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4,45555555555556;3,34090909090909;2,75;0,785714285714286;1;0;1;2;0,00952380952380952;0,0292682926829268
"03ea789f-9366-4380-83f4-cbef8df65d96";"56f95698-c3ec-41f4-9376-9b0923a0d18a";0;1;"ITALIA";0;0;4;"C4 A";"Liceo Classico Paritario";"P1";"P1";17;14;7;7;7;7,92307692307692;8;7,46153846153846;7;7;14;1;2;1;1;0;0;1;3;0;0;0;8;8;8;8;8;6;6;6;6;6;6;5,83333333333333;6,375;6,375;6,375;6,375;6,375;6,375;6,375;6,375;6,4;6,4;6,4;6,4;6,4;6,4;6,4;6,66666666666667;6,66666666666667;6,66666666666667;6,66666666666667;6,66666666666667;6,66666666666667;6,66666666666667;6,66666666666667;6,42857142857143;6,42857142857143;6,42857142857143;7;7;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2,48995535714286;2,70238095238095;3,89583333333333;0,823529411764706;1;1;1;2;0,0666666666666667;0,0682926829268293
"046fd6b2-4bd8-4a8b-9b10-c9a2700debbb";"49405a36-2cf8-427a-87dc-92f9cf121301";0;1;"ITALIA";0;0;2;"S2 A";"Liceo Scientifico Paritario";"P2";"P1";18;15;4;7;8;6,90909090909091;7;6,15384615384615;6;23;49;1;1;0;1;0;0;8;17;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4,16666666666667;4,16666666666667;4,16666666666667;4,16666666666667;4,16666666666667;4,16666666666667;4,16666666666667;4,625;4,625;4,625;4,625;4,625;4,625;4,5;4,5;4,5;4,5;4,08333333333333;4,08333333333333;4,08333333333333;4,08333333333333;4,35714285714286;4,35714285714286;5;5;6;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2,9281045751634;1,89285714285714;0,0833333333333333;0,833333333333333;1;1;0;1;0,219047619047619;0,239024390243902
"06144e7c-235a-40e0-9e8b-4713c1442346";"22fc17c0-015d-4da6-9b03-c101aa510287";0;0;"ITALIA";0;0;3;"I3 A";"Liceo Internazionale per l'Intercultura";"P1";"P1";22;17;6;7;8;7,27777777777778;7;7,76923076923077;8;2;5;0;0;3;6;0;2;13;19;0;0;3,5;3,5;5,25;5,5;5,125;5,3;5,3;5,3;5,3;5,29166666666667;5,46428571428571;5,40625;5,13888888888889;5,125;5,125;5,125;5,125;5,125;5,20454545454545;5,20454545454545;5,39583333333333;5,39583333333333;5,51923076923077;5,51923076923077;5,51923076923077;5,51923076923077;5,51923076923077;5,55357142857143;5,55357142857143;5,55357142857143;5,55357142857143;5,55357142857143;5,55357142857143;5,51666666666667;5,51666666666667;5,546875;5,546875;5,546875;5,546875;5;8;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2,72953216374269;1,60182291666667;1,71180555555556;0,772727272727273;1;1;1;2;0,019047619047619;0,024390243902439
"06382363-4292-4607-9957-184da28ec961";"9a55704d-75b8-44b5-aee3-673bc09335c0";1;1;"ITALIA";0;0;4;"S4 A";"Liceo Scientifico Paritario";"P1";"P2";15;13;7;6;7;7,75;8;6,75;7;6;13;1;1;0;0;1;1;8;12;0;0;0;2;2;2;2;2;2;3,5;3,5;3,5;4,16666666666667;4,16666666666667;4,375;4,375;4,375;4,375;4,375;4,375;4,375;4,375;4,3;4,3;4,3;4,3;4,3;4,5;4,5;4,5;4,5;4,5;5,5;5,5;5,5;5,72222222222222;6,05;6,05;6,05;6,05;6,05;7;6;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3,56060606060606;5,63611111111111;2,5625;0,866666666666667;1;0;1;2;0,0571428571428571;0,0634146341463415
